,Unnamed: 0.1,Unnamed: 0,hotels,urls,reviewer_name,review_date,trip_type,stay_date,revewer_location,contribution,helpful,review_title,review_link,reviewer_text,reviewer_over_rating,Reviewer_value,Reviewer_location,Reviewer_service,Reviewer_rooms,Reviewer_clean,Reviewer_sleep,responser,response_date,responser_text,sentiment_ground_truth
0,0,0,Surety Hotel,https://www.tripadvisor.com/Hotel_Review-g37835-d19973605-Reviews-Surety_Hotel-Des_Moines_Iowa.html,Jodi307, Yesterday,Traveled as a couple,October 2022,"Charlotte, North Carolina",512.0,138.0,Charming hotel!,https://www.tripadvisor.com/ShowUserReviews-g37835-d19973605-r864415397-Surety_Hotel-Des_Moines_Iowa.html,"What a classy and unique hotel! It’s been renovated with lots of character, the service was friendly and efficient, and the bed & pillows were wonderfully comfortable! It’s in easy walking distance to the Pappajohn Sculpture Park, which we enjoyed exploring. Great hotel!!",5.0,,,,,,,,,,positive
1,1,1,Surety Hotel,https://www.tripadvisor.com/Hotel_Review-g37835-d19973605-Reviews-Surety_Hotel-Des_Moines_Iowa.html,Mark T, Jan 2021,,December 2020,"Manama, Bahrain",2.0,2.0,Excellent Downtown Hotel,https://www.tripadvisor.com/ShowUserReviews-g37835-d19973605-r780618062-Surety_Hotel-Des_Moines_Iowa.html,"The hotel is at a great location to easily walk to bars and restaurants in downtown Des Moines. Inside, it is elegant throughout, from the classically outfitted lobby and lounge to the stylish bathroom details. Everything felt high scale with a warm and knowledgeable staff.",5.0,5.0,5.0,5.0,5.0,5.0,5.0,"Response from Zander Srodes, Guest Services / Front Office at Surety HotelResponded Jan 11, 2021"," Jan 11, 2021",Thank you for taking the time to spread the word about Surety! ,positive
2,2,2,Surety Hotel,https://www.tripadvisor.com/Hotel_Review-g37835-d19973605-Reviews-Surety_Hotel-Des_Moines_Iowa.html,Callie P, Oct 11,Traveled as a couple,October 2022,,1.0,,Beautiful corner suite!,https://www.tripadvisor.com/ShowUserReviews-g37835-d19973605-r864170019-Surety_Hotel-Des_Moines_Iowa.html,We had a guest room block at the Surety for our wedding weekend. All of our guests loved their rooms! My husband and I stayed there the night of our wedding in a corner suite and it was the most beautiful room. The staff helped us by delivering welcome bags to our guest rooms and even delivered some flowers and treats to our room from our wedding party. We will definitely be back for a staycation in the near future.,5.0,,,,,,,"Response from Allison Streu, General Manager at Surety HotelResponded 2 days ago", 2 days ago,"calliep61, congratulations!  We are so happy you chose us as your host hotel for your wedding weekend!  Thank you for sharing about your stay and the feedback from your friends and family.  Come see us again!",positive
3,3,3,Surety Hotel,https://www.tripadvisor.com/Hotel_Review-g37835-d19973605-Reviews-Surety_Hotel-Des_Moines_Iowa.html,492lori, Oct 11,Traveled with family,September 2022,"Johnston, Iowa",,,Excellent venue for a wedding.,https://www.tripadvisor.com/ShowUserReviews-g37835-d19973605-r864169716-Surety_Hotel-Des_Moines_Iowa.html,Excellent venue for our son’s wedding! Rooms were excellent. Everything was well organized and the food and beverage very good. I would highly recommend The Surety for your stay or special occasion. Thanks,5.0,,,,,,,,,,positive
4,4,4,Surety Hotel,https://www.tripadvisor.com/Hotel_Review-g37835-d19973605-Reviews-Surety_Hotel-Des_Moines_Iowa.html,Brian T, Oct 11,,October 2022,,2.0,,Average stay for the price,https://www.tripadvisor.com/ShowUserReviews-g37835-d19973605-r864099667-Surety_Hotel-Des_Moines_Iowa.html,We had a broken sink and parking issues that the hotel did not resolve. It fell way below our expectations. Hotel seems to be stuck in wanting to advertise a certain class and standard and falls below that.,2.0,2.0,4.0,2.0,2.0,4.0,4.0,,,,negative
5,5,5,Surety Hotel,https://www.tripadvisor.com/Hotel_Review-g37835-d19973605-Reviews-Surety_Hotel-Des_Moines_Iowa.html,mcginnis1022, Oct 10,,October 2022,"Denver, Colorado",1.0,,Quick get away,https://www.tripadvisor.com/ShowUserReviews-g37835-d19973605-r864021339-Surety_Hotel-Des_Moines_Iowa.html,We had planned a quick get away and the Surety hotel was a great place to stay. We wish we had more time to stay there to enjoy the restaurant and maybe a happy hour cocktail. The accessibility to other downtown places was great and close to the airport!,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,positive
6,6,6,Surety Hotel,https://www.tripadvisor.com/Hotel_Review-g37835-d19973605-Reviews-Surety_Hotel-Des_Moines_Iowa.html,swingerdbledown, Oct 10,,October 2022,,1.0,,Weekend Stay,https://www.tripadvisor.com/ShowUserReviews-g37835-d19973605-r863951028-Surety_Hotel-Des_Moines_Iowa.html,"Fantastic hotel, good location, friendly staff and amazing bar/restaurant connected to hotel. Stayed one night on a Saturday for a local show and was not disappointed in the stay. Parking was easy and price was not bad.",5.0,4.0,5.0,4.0,5.0,5.0,5.0,,,,positive
7,7,7,Surety Hotel,https://www.tripadvisor.com/Hotel_Review-g37835-d19973605-Reviews-Surety_Hotel-Des_Moines_Iowa.html,katebunda09, Oct 9,,October 2022,,1.0,,Good,https://www.tripadvisor.com/ShowUserReviews-g37835-d19973605-r863837016-Surety_Hotel-Des_Moines_Iowa.html,"Good time, friendly bartenders, and staff. Clean rooms. But did not get complimentary robe :( maybe next time. Catering and wedding beautiful. And food was very good. Overall a great stay. Rates are a little steep.",5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,positive
8,8,8,Surety Hotel,https://www.tripadvisor.com/Hotel_Review-g37835-d19973605-Reviews-Surety_Hotel-Des_Moines_Iowa.html,Santhosh Sahini, Oct 9,Traveled on business,October 2022,,2.0,,Comfortable stay!,https://www.tripadvisor.com/ShowUserReviews-g37835-d19973605-r863834356-Surety_Hotel-Des_Moines_Iowa.html,Hotel Surety is located at a walkable distance to my office in Des Moines downtown. Staff were friendly and responded quickly. My room were comfortable with great amenities and it is very clean. I would recommend this hotel for anyone looking for a stay in Des Moines downtown.,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,positive
9,9,9,Surety Hotel,https://www.tripadvisor.com/Hotel_Review-g37835-d19973605-Reviews-Surety_Hotel-Des_Moines_Iowa.html,DanandMimi, Oct 7,Traveled with family,September 2022,"Spencer, Iowa",,,Many inconveniences,https://www.tripadvisor.com/ShowUserReviews-g37835-d19973605-r863608953-Surety_Hotel-Des_Moines_Iowa.html,The lighting situation was horribleThey are run by using your card next to the entry door which is a nightmare if you have to get up in the night to use the restroomParking was very inconvenient No where to set one’s luggageOverall not a “user friendly “ place to stay,2.0,,,,,,,,,,negative
10,10,10,Surety Hotel,https://www.tripadvisor.com/Hotel_Review-g37835-d19973605-Reviews-or10-Surety_Hotel-Des_Moines_Iowa.html,mbtheiler, Oct 7,,October 2022,"Iowa City, Iowa",1.0,,Great clean hotel,https://www.tripadvisor.com/ShowUserReviews-g37835-d19973605-r863536995-Surety_Hotel-Des_Moines_Iowa.html,"This is a really cool renovated older hotel. The rooms are cozy and clean. The restaurant on site was excellent, but the lobby had a odd odor that I didn’t like, but luckily it was only the lobby and not our room.",4.0,4.0,5.0,5.0,5.0,5.0,5.0,,,,positive
11,11,11,Surety Hotel,https://www.tripadvisor.com/Hotel_Review-g37835-d19973605-Reviews-or10-Surety_Hotel-Des_Moines_Iowa.html,Clonetothebone, Oct 6,Traveled on business,October 2022,"New Liberty, Iowa",3.0,,Super nice boutique hotel in downtown Des Moines,https://www.tripadvisor.com/ShowUserReviews-g37835-d19973605-r863407549-Surety_Hotel-Des_Moines_Iowa.html,Very friendly staff rooms were extremely clean and attended to. Parking in an underground garage is available and while a bit inconvenient for access to the hotel was extremely clean and safe environment for parking.,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,positive
12,12,12,Surety Hotel,https://www.tripadvisor.com/Hotel_Review-g37835-d19973605-Reviews-or10-Surety_Hotel-Des_Moines_Iowa.html,elephantread, Oct 3,,September 2022,,1.0,,Great experience,https://www.tripadvisor.com/ShowUserReviews-g37835-d19973605-r863084137-Surety_Hotel-Des_Moines_Iowa.html,"It couldn't have gone better. Everyone on staff was so friendly. Much appreciation for the young lady at the coffee bar who made my wife's latte Sunday morning October 2, 2022. Very professional and very kind. The entire staff helped make this a great visit for us.",5.0,5.0,5.0,5.0,5.0,5.0,5.0,"Response from Allison Streu, General Manager at Surety HotelResponded 1 week ago", 1 week ago,"elephantread, thank you for the 5 stars!  We are so happy that you enjoyed our team and was able to have a great visit.  Come see us again soon!",positive
13,13,13,Surety Hotel,https://www.tripadvisor.com/Hotel_Review-g37835-d19973605-Reviews-or10-Surety_Hotel-Des_Moines_Iowa.html,Z2023JCron, Oct 3,Traveled on business,September 2022,"Charlotte, North Carolina",,,Excellent Hotel,https://www.tripadvisor.com/ShowUserReviews-g37835-d19973605-r863047711-Surety_Hotel-Des_Moines_Iowa.html,"Very professional staff, great location, super clean and amazing restaurant! The rooms are very comfortable with great decor.I was in Des Moines on business for 5 days and one of the best parts was the hotel stay.",5.0,,,,,,,"Response from Allison Streu, General Manager at Surety HotelResponded 1 week ago", 1 week ago,"Z2023JCron, thank you for your rave review.  We are so happy to hear that our hotel was the highlight of your stay in Des Moines.  Thank you for the great shoutout for our team and Mulberry Street Tavern.  Come back and see us again soon!",positive
14,14,14,Surety Hotel,https://www.tripadvisor.com/Hotel_Review-g37835-d19973605-Reviews-or10-Surety_Hotel-Des_Moines_Iowa.html,klongtin63, Oct 3,,September 2022,"Des Moines, Iowa",1.0,,Wedding venue,https://www.tripadvisor.com/ShowUserReviews-g37835-d19973605-r863029724-Surety_Hotel-Des_Moines_Iowa.html,No microwave or fridge in the king rooms. There wasn't even a microwave in the big suite the bridal party used for prep. But everything else was lovely and high quality.We had so many comments on what a perfect place it was for a wedding - I would recommend it to anyone!,4.0,4.0,5.0,5.0,3.0,5.0,5.0,"Response from Allison Streu, General Manager at Surety HotelResponded 1 week ago", 1 week ago,"klongtin63, thank you for sharing about your stay.  We appreciate you calling out all of the things you enjoyed and appreciated as a wedding attendee.  While all of our guest rooms have fridges, we have been considerate of other guests by not having microwaves in the rooms.  The smells that permeate from warmed up leftovers can be more of a deterrant for those guests nearby.  Again, we appreciate you sharing your thoughts and are pleased that you had a great stay!",positive
